@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,10,12-14,16-22'

@attribute x-mean1000 numeric
@attribute z-mean1000 numeric
@attribute abs-var1000 numeric
@attribute class {WALKING,STANDING,SITTING}

@data
-6.931784,6.990157,0.740584,SITTING
-7.00475,6.960971,0.562285,SITTING
-6.951021,6.964951,0.632209,SITTING
-6.978881,6.951021,0.463215,SITTING
-6.978881,6.937091,0.481035,SITTING
-6.951021,6.951021,0.512991,SITTING
-6.909231,6.97888,0.626275,SITTING
-6.839582,7.02067,0.814755,SITTING
-6.755396,7.061854,0.995779,SITTING
-6.662127,7.115151,1.270869,SITTING
-6.519194,7.173899,1.758244,SITTING
-6.408966,7.208421,2.145299,SITTING
-6.275723,7.275042,2.666516,SITTING
-6.115832,7.328339,3.206113,SITTING
-5.969266,7.381636,3.37122,SITTING
-5.725189,7.494287,3.670609,SITTING
-5.502311,7.633586,3.975116,SITTING
-5.307292,7.745025,4.192656,SITTING
-5.140134,7.898254,4.085008,SITTING
-5.063216,7.954579,4.23336,SITTING
-4.992709,7.993441,4.36181,SITTING
-4.927842,8.004678,4.456573,SITTING
-4.756225,8.078228,4.122535,SITTING
-4.596867,8.151778,3.809722,SITTING
-4.437509,8.237586,3.386491,SITTING
-4.278151,8.335653,2.8286,SITTING
-4.118793,8.470494,2.340835,SITTING
-3.99621,8.593077,2.187718,SITTING
-3.84911,8.654369,1.974491,SITTING
